family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1527,run94_sparc_1527,0.515354147223243,1.400922474056614,0.572409632872553,0.6351067317707719,1.2636393554619525,1.0721448283926875
sparc_1362,run56_sparc_1362,0.28880119819693906,1.2841615746503177,0.4513546147434181,0.5342827299050665,0.9033306528834024,1.4143547996164232
sparc_1423,run73_sparc_1423,0.6519290880812476,1.2427418925402016,0.6805619096220292,0.8043040547235069,0.9121634081629392,1.1970816030593328
sparc_1306,run10_sparc_1306,0.8959953116973386,1.4466539795357234,0.9144053167280983,0.9602889576241886,1.2193286296220855,1.6090508242675048
sparc_1529,run4_sparc_1529,0.6338980190972866,1.50048357201838,0.6798509733068666,0.6768367219663275,1.1906087148701419,1.4740173700242345
sparc_1403,run1_sparc_1403,0.504322329408249,1.2190509937505016,0.5372069674664538,0.6530188660547612,0.8755296357054344,1.3506669696766689
sparc_1417,run67_sparc_1417,0.3107099716267866,1.360357305301952,0.3488342967613524,0.44811123192853825,0.7035742926717434,0.8868164687235504
sparc_1300,run50_sparc_1300,0.5175724982625506,1.3841109806836778,0.6958413694296963,0.9963765281779504,1.16432220106379,1.1850557509849222
sparc_1302,run80_sparc_1302,0.1880276702835319,1.3904606033525297,0.28737499571070557,0.3722234346396362,1.0698058506632016,0.3284800646353964
sparc_1402,run32_sparc_1402,0.40121602847621257,1.2690211809562026,0.46676754193173525,0.5707344087306985,0.8578130521914729,1.3191708249062246
sparc_1411,run93_sparc_1411,0.23233992830962155,1.2427880200976706,0.341380208404694,0.46716184069007527,0.6776521687999593,1.183991515627444
sparc_1423,run85_sparc_1423,0.4236109814434119,1.5345670322646763,0.48471080487953183,0.5860022758862354,0.9868510509437152,1.4643675619456147
sparc_1420,run72_sparc_1420,0.48692197249048125,1.439241114402463,0.5375671924742753,0.634435551550729,0.7795884782808377,1.195052397689966
sparc_1520,run39_sparc_1520,0.39119831528293925,1.093992035952247,0.4746640830562575,0.574262204449536,0.7015679059102597,1.4903097341516447
sparc_1593,run5_sparc_1593,0.2254800231396155,1.2730747627112857,0.2997072825303738,0.41423397087903074,0.5937430907459759,0.5682861857644927
sparc_1313,run8_sparc_1313,0.3104980698207692,1.3299682845978689,0.3688348985698579,0.5558003222952758,0.8403463368984331,1.2314547189999487
sparc_1408,run15_sparc_1408,0.5329818057471757,1.1133319282496434,0.5774965921639307,0.635235423631676,0.9379420176717501,1.259791542797191
sparc_1365,run1_sparc_1365,0.4806609852823946,1.379725895832641,0.5185160589687884,0.6075230969244411,0.8087922400107924,0.8589844895007565
sparc_1408,run77_sparc_1408,0.5307604420769804,1.4103442724926503,0.5870317837357109,0.6964079539726391,1.041412017625225,1.7132019811055479
sparc_1405,run62_sparc_1405,0.1671304766270006,1.3124495329965014,0.23087302755897188,0.7028619342575944,0.9822848247051126,1.247410118368305
sparc_1308,run83_sparc_1308,0.8005715777689562,1.1210114857146691,0.814425643400701,0.8483977163248381,0.9544337576364817,1.0068435220191618
sparc_1303,run71_sparc_1303,0.4444366369525893,1.3374041246954176,0.4852098055442244,0.5617132803677014,0.8599095510518614,0.8847772073952318
sparc_1405,run79_sparc_1405,0.7159087486793773,1.2930447898017872,0.7392925530724609,0.7917678175447461,1.0084856151628148,1.1962694364421569
sparc_1361,run65_sparc_1361,0.2441446070406823,1.2647779609786272,0.37614466417678266,0.44214903318455234,0.9229625627800918,0.6083050196822009
sparc_1303,run52_sparc_1303,0.9066855447488641,1.1974431794713227,0.9213378118320588,0.9464423932514793,0.9691258527618389,1.2114844423767464
sparc_1364,run55_sparc_1364,0.3330670635520722,1.2750406086619734,0.4072863014386928,0.6603984462227428,0.9043693376378245,0.9447176912970441
sparc_1513,run64_sparc_1513,0.5574037622761417,1.337532689037479,0.6001901672251982,0.7851714372162111,1.1236955721822084,1.094467483971317
sparc_1424,run94_sparc_1424,0.9110565892115575,1.5069612971651258,1.040541892145349,0.9815382921847254,1.2322522012135955,1.5382099503508855
sparc_1514,run86_sparc_1514,0.3599649649386205,1.1603323826093093,0.4131992377181794,0.5966971788869216,0.8906615533804066,0.9737183163840212
sparc_1515,run44_sparc_1515,0.4865616203399239,1.4907336078943945,0.556621177324751,0.69592634406014,0.945695589114319,1.4342132626162547
sparc_1305,run32_sparc_1305,0.5521497136540969,1.2350735482916426,0.5940382834327772,0.6607038333010554,0.8101820539127603,0.8683837326676677
sparc_1501,run29_sparc_1501,0.6222062886029053,1.2965323637637962,0.6628295238921417,0.7431340182937244,0.9326873720881996,0.9022590193557
sparc_1401,run78_sparc_1401,0.47136786972412587,1.3785987664753823,0.5316577784487054,0.6571665078280701,0.9731557741715172,1.0803147116478407
sparc_1313,run94_sparc_1313,0.2732532393042455,1.20144229646005,0.347487040205916,0.4712355196400345,0.9614138655717971,1.584236000911574
sparc_1416,run24_sparc_1416,0.26670678345417326,1.170634921554216,0.32245060501647693,0.4854623891020678,0.6973014354973319,1.55371576755964
sparc_1361,run33_sparc_1361,0.30305875427926865,1.3005647778440275,0.3686103149253221,0.5428975526716162,1.0110254686971132,0.9732165888233283
sparc_1406,run88_sparc_1406,0.47888917677460724,1.277675793611832,0.5176667110727639,0.6180450317487803,0.8760485008890875,0.7806675302903769
sparc_1314,run26_sparc_1314,0.2816131115800282,1.4073381449982874,0.3458038959907316,0.4838655700590547,0.8752351714716711,1.496886453376943
sparc_1317,run2_sparc_1317,0.329276436146149,1.3178900847984414,0.3882526823307302,0.7476363896154566,0.9543301454324875,1.4438817900095036
sparc_1512,run78_sparc_1512,0.32106113120880997,1.4279329477001959,0.401460652940749,0.694375022201839,0.6253967086558213,1.240108478320688
sparc_1319,run46_sparc_1319,0.3743336523233287,1.17274328757932,0.43335823489380704,0.6643331763187221,0.8574341264908644,1.0140404374370486
