key,family,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,winner
run58_sparc_1359,sparc_1359,0.750055,0.673867,0.704695,0.686805,0.598319,0.666338,0.909378,0.912290,0.933359,0.579152,0.867847,0.582450,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1365,sparc_1365,0.788344,0.689502,0.732384,0.697518,0.613595,0.677944,0.889007,0.895808,0.922150,0.598654,0.761698,0.681562,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1402,sparc_1402,0.707373,0.584206,0.754639,0.581614,0.518602,0.676606,0.947094,0.953367,0.966920,0.671791,0.878805,0.714327,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1403,sparc_1403,0.910926,0.925960,1.404006,0.771114,0.780894,0.938918,0.867537,0.860190,0.918575,0.662399,0.883604,0.920540,spectrum_fno48_floor6_smooth1_qc
run58_sparc_1413,sparc_1413,0.677615,0.630930,0.853644,0.655421,0.609962,0.750100,0.905526,0.906045,0.928063,0.689102,0.789930,0.831264,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1421,sparc_1421,0.728399,0.761973,0.903322,0.698824,0.724808,0.796644,0.894750,0.889788,0.923136,0.558755,0.824438,0.709443,spectrum_fno48_floor6_smooth1_qc
run58_sparc_1422,sparc_1422,0.725798,0.882922,1.038393,0.668526,0.758462,0.838931,0.888222,0.888514,0.921373,0.787120,0.826379,0.918244,spectrum_fno48_floor6_smooth1_qc
run58_sparc_1429,sparc_1429,1.436844,1.220263,1.746254,0.963430,0.887141,0.962809,0.645011,0.649741,0.589765,0.766302,0.915919,0.907568,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1440,sparc_1440,1.431208,1.070648,1.634353,0.851348,0.805095,0.964589,0.943176,0.942897,0.958694,0.664979,0.689126,0.768804,spectrum_fno48_floor6_smooth1_qc_peak4
run58_sparc_1503,sparc_1503,1.146087,0.932776,1.525842,0.820735,0.771385,0.932978,0.809256,0.815017,0.879980,0.795078,0.843122,0.936916,spectrum_fno48_floor6_smooth1_qc_peak4
