key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0,winner
run10_sparc_1300,sparc_1300,0.473958,0.468011,0.447390,0.473958,0.467559,0.446472,0.969102,0.980066,0.947780,0.911237,0.835203,0.865891,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1302,sparc_1302,1.725874,2.010591,0.339429,0.891510,0.958201,0.268267,0.915161,0.931316,0.813749,0.876751,0.565947,0.465503,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1305,sparc_1305,1.033249,1.359383,0.382770,0.767044,0.832664,0.279182,0.908107,0.913037,0.769391,0.770080,0.543004,0.162526,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1306,sparc_1306,0.987921,1.060983,0.895995,0.789869,0.787666,0.788889,0.882125,0.896296,0.727138,0.938200,0.881919,0.573843,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1307,sparc_1307,0.623549,0.694049,0.292295,0.612457,0.680527,0.290354,0.880310,0.907545,0.746951,0.975480,0.950186,0.654177,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1319,sparc_1319,0.634834,0.789359,0.492294,0.623362,0.754848,0.457447,0.885322,0.875940,0.645301,0.938039,0.698815,0.770281,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1360,sparc_1360,0.518886,0.804488,0.405716,0.514780,0.749382,0.379872,0.896313,0.891935,0.685718,0.924466,0.891672,0.672697,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1361,sparc_1361,0.493879,0.816923,0.510465,0.492533,0.745036,0.473856,0.890172,0.881799,0.682479,0.933963,0.903984,0.660819,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1364,sparc_1364,0.549323,0.645901,0.410837,0.549138,0.644044,0.391229,0.882216,0.887226,0.663515,0.834555,0.600333,0.770409,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth0
run10_sparc_1407,sparc_1407,1.154886,1.323896,1.245537,0.874880,0.837334,0.947764,0.898102,0.924528,0.758513,0.889174,0.875175,0.455225,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
