key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,winner
run36_sparc_1502,sparc_1502,0.670629,1.075844,0.651539,0.618718,0.790461,0.608034,0.870152,0.881038,0.952382,0.956949,0.778121,0.842616,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run36_sparc_1507,sparc_1507,1.122314,1.474549,1.478935,0.824415,0.901176,0.896735,0.912996,0.917231,0.917626,0.884593,0.821742,0.895958,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1513,sparc_1513,0.557858,0.619722,0.568765,0.553597,0.609179,0.562338,0.912343,0.911836,0.929905,0.945646,0.631748,0.917984,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1522,sparc_1522,0.539608,0.821376,0.598015,0.509490,0.674904,0.553176,0.889860,0.895821,0.869344,0.843826,0.881497,0.952008,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1523,sparc_1523,0.524076,0.871476,0.606536,0.517043,0.711399,0.573354,0.891533,0.890313,0.876118,0.880715,0.866184,0.905274,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1525,sparc_1525,1.065665,1.159941,1.203362,0.790331,0.803907,0.807415,0.940009,0.930399,0.934544,0.836322,0.678972,0.907867,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1527,sparc_1527,0.931832,1.177958,0.977377,0.808607,0.859974,0.808199,0.910935,0.842538,0.915372,0.899219,0.847360,0.942558,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1529,sparc_1529,1.219469,1.253567,1.290523,0.889417,0.885507,0.884470,0.787918,0.808041,0.762749,0.924836,0.920283,0.945283,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1530,sparc_1530,0.755930,0.703492,0.653736,0.753454,0.696769,0.653619,0.893056,0.917453,0.913889,0.983590,0.976769,0.990424,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1300,sparc_1300,0.688700,0.706768,0.769298,0.638300,0.657237,0.642926,0.921823,0.959689,0.952856,0.913013,0.864337,0.958618,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1305,sparc_1305,0.888149,0.895405,0.847687,0.713042,0.722127,0.712473,0.924855,0.927750,0.928741,0.908803,0.784653,0.924752,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1306,sparc_1306,0.831703,0.903207,0.892972,0.754000,0.765397,0.763314,0.860323,0.870940,0.870658,0.956455,0.934509,0.945808,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1313,sparc_1313,0.671850,0.688775,0.686627,0.647077,0.673674,0.661992,0.941498,0.944075,0.952630,0.940848,0.810940,0.900500,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1314,sparc_1314,0.661634,0.677447,0.675570,0.641702,0.665227,0.654938,0.941893,0.945189,0.949535,0.948771,0.811365,0.915630,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
