key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,winner
run34_sparc_1401,sparc_1401,0.800362,0.964609,0.630870,0.709963,0.831055,0.523191,0.943076,0.940335,0.896968,0.817330,0.739686,0.585114,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run34_sparc_1406,sparc_1406,0.697071,0.681504,0.561595,0.673677,0.662447,0.541379,0.945243,0.942659,0.880120,0.868167,0.762232,0.693892,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run34_sparc_1415,sparc_1415,0.584353,0.559107,0.480602,0.561053,0.557708,0.471218,0.921416,0.936657,0.866420,0.966392,0.914721,0.842081,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run34_sparc_1417,sparc_1417,0.527496,1.071197,0.575618,0.516210,0.645355,0.498085,0.920685,0.898072,0.834738,0.910373,0.851489,0.843339,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run34_sparc_1423,sparc_1423,0.868521,1.080232,0.761838,0.707838,0.711511,0.648811,0.950413,0.950960,0.893975,0.887441,0.844991,0.649294,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run34_sparc_1515,sparc_1515,0.542020,0.620493,0.466636,0.538176,0.581296,0.448184,0.929735,0.940140,0.867646,0.966197,0.869559,0.809901,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1307,sparc_1307,0.725394,1.057285,1.105744,0.653586,0.823684,0.746706,0.764148,0.817386,0.583729,0.969000,0.964644,0.913832,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run35_sparc_1315,sparc_1315,0.541399,0.660521,0.384008,0.536194,0.639647,0.378608,0.930862,0.928690,0.870327,0.895303,0.874211,0.645408,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1317,sparc_1317,0.636074,0.627492,0.370820,0.594626,0.598310,0.369363,0.931487,0.933464,0.878769,0.901204,0.812864,0.668442,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1351,sparc_1351,0.582899,0.624720,0.422850,0.549472,0.583721,0.422509,0.931077,0.932295,0.839761,0.860299,0.859869,0.727511,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1357,sparc_1357,0.673194,0.624610,0.962511,0.660627,0.617904,0.836537,0.909632,0.907513,0.792015,0.900313,0.809758,0.686358,spectrum_fno48_floor6_smooth1_qc_peak4
run35_sparc_1400,sparc_1400,0.344420,0.412993,0.384600,0.314329,0.367311,0.369055,0.992580,0.993906,0.992552,0.926801,0.935274,0.979535,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run35_sparc_1404,sparc_1404,0.499221,0.558621,0.401198,0.497959,0.551811,0.400147,0.934501,0.938716,0.848836,0.914858,0.925037,0.760761,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1407,sparc_1407,0.574063,0.660554,0.424561,0.566151,0.619405,0.420719,0.912212,0.914638,0.823701,0.901954,0.848777,0.558605,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1409,sparc_1409,0.739354,0.777823,0.612638,0.721286,0.762241,0.612621,0.883766,0.890826,0.797211,0.898333,0.802091,0.566363,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1412,sparc_1412,0.597505,0.628797,0.428980,0.584180,0.605269,0.425359,0.933411,0.927831,0.845375,0.951256,0.880893,0.746131,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1413,sparc_1413,0.600732,0.622945,0.414657,0.577868,0.593381,0.414585,0.935642,0.929790,0.848873,0.950400,0.884937,0.720513,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1415,sparc_1415,0.589964,0.659890,0.397832,0.559078,0.623037,0.395217,0.928215,0.928406,0.840901,0.928086,0.721698,0.518644,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1419,sparc_1419,0.758754,0.712214,0.760202,0.729301,0.694851,0.705264,0.885132,0.892558,0.747945,0.922159,0.910022,0.716862,spectrum_fno48_floor6_smooth1_qc_peak4
run35_sparc_1421,sparc_1421,0.634553,0.681155,0.733380,0.629260,0.673653,0.677394,0.890965,0.888501,0.784867,0.909479,0.908961,0.639760,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run35_sparc_1427,sparc_1427,0.654590,0.696896,0.575076,0.644546,0.685878,0.575068,0.880941,0.899445,0.805417,0.937009,0.894027,0.744853,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1430,sparc_1430,0.835033,0.826520,0.643052,0.833785,0.826455,0.635891,0.787374,0.898279,0.838078,0.991681,0.988123,0.924462,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1440,sparc_1440,0.566286,0.640207,0.451653,0.565360,0.636502,0.429615,0.932230,0.936664,0.914806,0.805446,0.797792,0.709562,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1501,sparc_1501,0.854058,0.826831,0.815752,0.820506,0.783224,0.797037,0.881054,0.900618,0.874998,0.985430,0.982238,0.928450,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1515,sparc_1515,0.537674,0.590729,0.367342,0.534781,0.590459,0.364453,0.930831,0.929651,0.845897,0.867325,0.785072,0.627775,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1518,sparc_1518,0.547803,0.615222,0.357507,0.532255,0.575894,0.357276,0.915812,0.914750,0.814773,0.829314,0.838507,0.778647,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1519,sparc_1519,0.767123,0.718620,0.734857,0.721127,0.686666,0.688981,0.919565,0.916723,0.805421,0.894146,0.912346,0.701727,spectrum_fno48_floor6_smooth1_qc_peak4
run35_sparc_1520,sparc_1520,0.610872,0.691811,0.533252,0.586555,0.671389,0.532787,0.917656,0.918465,0.821441,0.786805,0.889644,0.471291,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run35_sparc_1522,sparc_1522,0.825743,0.828078,0.858156,0.766434,0.787724,0.791544,0.867105,0.869021,0.732437,0.893611,0.821391,0.641613,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run35_sparc_1525,sparc_1525,0.621649,0.630207,0.547313,0.617043,0.629645,0.542139,0.889879,0.905065,0.800370,0.934951,0.882714,0.726603,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1302,sparc_1302,0.679038,1.101275,0.489632,0.634290,0.810130,0.478837,0.908885,0.906843,0.860802,0.947460,0.795512,0.778338,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1306,sparc_1306,1.405048,1.483417,0.996788,0.904289,0.915124,0.760799,0.915001,0.910575,0.806989,0.906400,0.921585,0.715006,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1307,sparc_1307,0.847689,1.014798,0.671940,0.739905,0.776534,0.590871,0.901679,0.906355,0.829396,0.967810,0.943069,0.819660,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1353,sparc_1353,0.495306,0.690947,0.348479,0.493001,0.641787,0.344866,0.875421,0.884001,0.735606,0.907699,0.923102,0.631135,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1355,sparc_1355,0.518137,0.595535,0.333185,0.507317,0.565719,0.332013,0.899503,0.900503,0.757778,0.926920,0.827597,0.692915,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1358,sparc_1358,0.530293,0.615993,0.343418,0.512161,0.578632,0.343389,0.889017,0.889270,0.740009,0.914509,0.860046,0.703394,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1364,sparc_1364,0.509839,0.757208,0.390787,0.504258,0.715543,0.388325,0.878780,0.878671,0.728859,0.889527,0.910608,0.692093,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1400,sparc_1400,0.412093,0.472854,0.415367,0.411421,0.463703,0.414412,0.985320,0.990272,0.984493,0.900684,0.901453,0.870259,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run36_sparc_1414,sparc_1414,0.583823,0.670441,0.340770,0.557730,0.640064,0.338939,0.905601,0.905509,0.833288,0.899456,0.653509,0.588808,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1417,sparc_1417,0.559125,0.635985,0.339017,0.552178,0.621264,0.334860,0.906019,0.907391,0.818691,0.911653,0.720995,0.554875,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1426,sparc_1426,0.948506,1.245307,0.485806,0.747630,0.802523,0.415851,0.923015,0.915492,0.863229,0.866086,0.817381,0.650446,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1502,sparc_1502,0.670629,1.075844,0.410381,0.618718,0.790461,0.406560,0.870152,0.881038,0.893338,0.956949,0.778121,0.817744,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1507,sparc_1507,1.122314,1.474549,0.811359,0.824415,0.901176,0.702404,0.912996,0.917231,0.840588,0.884593,0.821742,0.599014,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1513,sparc_1513,0.557858,0.619722,0.342889,0.553597,0.609179,0.340605,0.912343,0.911836,0.826617,0.945646,0.631748,0.604526,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1522,sparc_1522,0.539608,0.821376,0.354435,0.509490,0.674904,0.353110,0.889860,0.895821,0.737048,0.843826,0.881497,0.634315,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1523,sparc_1523,0.524076,0.871476,0.363485,0.517043,0.711399,0.363365,0.891533,0.890313,0.727967,0.880715,0.866184,0.585832,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1525,sparc_1525,1.065665,1.159941,0.617454,0.790331,0.803907,0.516711,0.940009,0.930399,0.873153,0.836322,0.678972,0.576530,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1527,sparc_1527,0.931832,1.177958,0.474787,0.808607,0.859974,0.467648,0.910935,0.842538,0.839657,0.899219,0.847360,0.748782,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1529,sparc_1529,1.219469,1.253567,1.049284,0.889417,0.885507,0.809051,0.787918,0.808041,0.728908,0.924836,0.920283,0.736153,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run36_sparc_1530,sparc_1530,0.755930,0.703492,0.690621,0.753454,0.696769,0.690420,0.893056,0.917453,0.906829,0.983590,0.976769,0.939324,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
