model,family,n,mean_relL2,median_relL2,p90_relL2,frac_relL2_gt_1,mean_relL2_alpha,mean_crf
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1300,21,0.5510742836222612,0.5201852750119859,0.7067679240477868,0.047619047619047616,0.5202592802923247,0.7379543827546088
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1301,17,0.7289057222226939,0.6817759484714405,0.9315911716796791,0.058823529411764705,0.665623068429773,0.928088605244402
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1302,22,0.8862329807634101,0.8158356330132239,1.09649986500335,0.18181818181818182,0.738421505839004,0.8894888189144964
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1303,19,0.8400659830697726,0.6934696676857346,1.0645697510091892,0.10526315789473684,0.6932231968874526,0.8571497985669891
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1304,18,0.9594822249536392,0.8426997733347379,1.3912758925599298,0.3888888888888889,0.744211109337325,0.8902053957545394
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1305,24,0.9582589825404896,0.9260287814307446,1.3530452726392452,0.4166666666666667,0.7605322279855832,0.8196177234104635
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1306,21,1.0259201572751,0.9736183454114696,1.3084796815330957,0.47619047619047616,0.8213933887150355,0.9024851601197403
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1307,34,0.9674502793681669,0.957842307766446,1.2367660087079364,0.4117647058823529,0.7651576813508668,0.9245819360694988
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1308,20,1.024181891210993,0.9566950596259406,1.3681067027443528,0.45,0.8111070169998168,0.9264415279008664
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1309,21,0.9800069854559892,0.9320174957284647,1.4638500350722172,0.38095238095238093,0.779311520996371,0.8875286225263533
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1310,18,0.7332442463964661,0.7329291881451242,0.9094350276096764,0.0,0.6832700519116803,0.7294997468114706
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1311,13,0.676492736555169,0.6452285438789084,0.8897577623297115,0.0,0.6378523240844575,0.7277508599447545
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1313,19,0.7260282525646783,0.6599393722667323,0.9963160578179144,0.10526315789473684,0.6541133808609522,0.7212498932172607
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1314,19,0.6843474999333167,0.6745496820445424,0.8646757352563383,0.05263157894736842,0.6495467349903784,0.7221992546674759
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1315,26,0.6785743982248185,0.6439424031183384,0.7930296503148071,0.038461538461538464,0.6182345464770476,0.7853742418821247
spectrum_fno48_floor6_smooth1_qc_peak4,sparc_1316,16,0.6492203369234293,0.6405848861731545,0.7308486960807601,0.0,0.613665387080427,0.8085822566689208
